sentence_id,filename,sentence,multiple_words,token_info,UD_depd,Special Case
46,herring11,él empezó a trabajar en los primeros años towards the end .,1,"[[1, 'él', 'spa'], [2, 'empezó', 'spa'], [3, 'a', 'spa'], [4, 'trabajar', 'spa'], [5, 'en', 'spa'], [6, 'los', 'spa'], [7, 'primeros', 'spa'], [8, 'años', 'spa'], [9, 'towards', 'eng'], [10, 'the', 'eng'], [11, 'end', 'eng'], [12, '.', '0']]","[{'ID': 1, 'FORM': 'él', 'LEMMA': 'él', 'UPOS': 'PRON', 'HEAD ID': 2, 'HEAD': 'empezó', 'DEPREL': 'nsubj'}, {'ID': 2, 'FORM': 'empezó', 'LEMMA': 'empezar', 'UPOS': 'VERB', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 3, 'FORM': 'a', 'LEMMA': 'a', 'UPOS': 'PART', 'HEAD ID': 4, 'HEAD': 'trabajar', 'DEPREL': 'mark'}, {'ID': 4, 'FORM': 'trabajar', 'LEMMA': 'trabajar', 'UPOS': 'VERB', 'HEAD ID': 2, 'HEAD': 'empezó', 'DEPREL': 'xcomp'}, {'ID': 5, 'FORM': 'en', 'LEMMA': 'en', 'UPOS': 'ADP', 'HEAD ID': 8, 'HEAD': 'años', 'DEPREL': 'case'}, {'ID': 6, 'FORM': 'los', 'LEMMA': 'el', 'UPOS': 'DET', 'HEAD ID': 8, 'HEAD': 'años', 'DEPREL': 'det'}, {'ID': 7, 'FORM': 'primeros', 'LEMMA': 'primero', 'UPOS': 'ADJ', 'HEAD ID': 8, 'HEAD': 'años', 'DEPREL': 'amod'}, {'ID': 8, 'FORM': 'años', 'LEMMA': 'año', 'UPOS': 'NOUN', 'HEAD ID': 4, 'HEAD': 'trabajar', 'DEPREL': 'obl'}, {'ID': 9, 'FORM': 'towards', 'LEMMA': 'towards', 'UPOS': 'ADP', 'HEAD ID': 11, 'HEAD': 'end', 'DEPREL': 'case'}, {'ID': 10, 'FORM': 'the', 'LEMMA': 'the', 'UPOS': 'DET', 'HEAD ID': 11, 'HEAD': 'end', 'DEPREL': 'det'}, {'ID': 11, 'FORM': 'end', 'LEMMA': 'end', 'UPOS': 'NOUN', 'HEAD ID': 2, 'HEAD': 'empezó', 'DEPREL': 'obl'}, {'ID': 12, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 2, 'HEAD': 'empezó', 'DEPREL': 'punct'}]",0
68,herring11,escribió Beethoven en sus llaman aquí macaronic .,0,"[[1, 'escribió', 'spa'], [2, 'Beethoven', 'eng&spa'], [3, 'en', 'spa'], [4, 'sus', 'spa'], [5, 'llaman', 'spa'], [6, 'aquí', 'spa'], [7, 'macaronic', 'eng'], [8, '.', '0']]","[{'ID': 1, 'FORM': 'escribió', 'LEMMA': 'escribir', 'UPOS': 'VERB', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 2, 'FORM': 'Beethoven', 'LEMMA': 'Beethoven', 'UPOS': 'PROPN', 'HEAD ID': 1, 'HEAD': 'escribió', 'DEPREL': 'nsubj'}, {'ID': 3, 'FORM': 'en', 'LEMMA': 'en', 'UPOS': 'ADP', 'HEAD ID': 5, 'HEAD': 'llaman', 'DEPREL': 'case'}, {'ID': 4, 'FORM': 'sus', 'LEMMA': 'su', 'UPOS': 'DET', 'HEAD ID': 5, 'HEAD': 'llaman', 'DEPREL': 'det'}, {'ID': 5, 'FORM': 'llaman', 'LEMMA': 'llamar', 'UPOS': 'VERB', 'HEAD ID': 1, 'HEAD': 'escribió', 'DEPREL': 'advcl'}, {'ID': 6, 'FORM': 'aquí', 'LEMMA': 'aquí', 'UPOS': 'ADV', 'HEAD ID': 5, 'HEAD': 'llaman', 'DEPREL': 'advmod'}, {'ID': 7, 'FORM': 'macaronic', 'LEMMA': 'macaronic', 'UPOS': 'ADJ', 'HEAD ID': 5, 'HEAD': 'llaman', 'DEPREL': 'xcomp'}, {'ID': 8, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 1, 'HEAD': 'escribió', 'DEPREL': 'punct'}]",0
74,herring11,y que thereby matching the style of Clement's piano .,1,"[[1, 'y', 'spa'], [2, 'que', 'spa'], [3, 'thereby', 'eng'], [4, 'matching', 'eng'], [5, 'the', 'eng'], [6, 'style', 'eng'], [7, 'of', 'eng'], [8, ""Clement's"", 'eng&spa+eng'], [9, 'piano', 'eng'], [10, '.', '0']]","[{'ID': 1, 'FORM': 'y', 'LEMMA': 'y', 'UPOS': 'CCONJ', 'HEAD ID': 4, 'HEAD': 'matching', 'DEPREL': 'cc'}, {'ID': 2, 'FORM': 'que', 'LEMMA': 'que', 'UPOS': 'SCONJ', 'HEAD ID': 4, 'HEAD': 'matching', 'DEPREL': 'mark'}, {'ID': 3, 'FORM': 'thereby', 'LEMMA': 'thereby', 'UPOS': 'ADV', 'HEAD ID': 4, 'HEAD': 'matching', 'DEPREL': 'advmod'}, {'ID': 4, 'FORM': 'matching', 'LEMMA': 'match', 'UPOS': 'VERB', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 5, 'FORM': 'the', 'LEMMA': 'the', 'UPOS': 'DET', 'HEAD ID': 6, 'HEAD': 'style', 'DEPREL': 'det'}, {'ID': 6, 'FORM': 'style', 'LEMMA': 'style', 'UPOS': 'NOUN', 'HEAD ID': 4, 'HEAD': 'matching', 'DEPREL': 'obj'}, {'ID': 7, 'FORM': 'of', 'LEMMA': 'of', 'UPOS': 'ADP', 'HEAD ID': 8, 'HEAD': 'Clement', 'DEPREL': 'case'}, {'ID': 8, 'FORM': 'Clement', 'LEMMA': 'Clement', 'UPOS': 'PROPN', 'HEAD ID': 6, 'HEAD': 'style', 'DEPREL': 'nmod'}, {'ID': 9, 'FORM': ""'s"", 'LEMMA': ""'s"", 'UPOS': 'PART', 'HEAD ID': 8, 'HEAD': 'Clement', 'DEPREL': 'case'}, {'ID': 10, 'FORM': 'piano', 'LEMMA': 'piano', 'UPOS': 'NOUN', 'HEAD ID': 8, 'HEAD': 'Clement', 'DEPREL': 'nmod'}]",0
126,herring11,sí mmhm .,0,"[[1, 'sí', 'spa'], [2, 'mmhm', 'eng'], [3, '.', '0']]","[{'ID': 1, 'FORM': 'sí', 'LEMMA': 'sí', 'UPOS': 'ADV', 'HEAD ID': 3, 'HEAD': '.', 'DEPREL': 'discourse'}, {'ID': 2, 'FORM': 'mmhm', 'LEMMA': 'mmhm', 'UPOS': 'other', 'HEAD ID': 3, 'HEAD': '.', 'DEPREL': 'discourse'}, {'ID': 3, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}]",0
132,herring11,varias composiciones según los Cds que yo tengo .,0,"[[1, 'varias', 'spa'], [2, 'composiciones', 'spa'], [3, 'según', 'spa'], [4, 'los', 'spa'], [5, 'Cds', 'eng'], [6, 'que', 'spa'], [7, 'yo', 'spa'], [8, 'tengo', 'spa'], [9, '.', '0']]","[{'ID': 1, 'FORM': 'varias', 'LEMMA': 'vario', 'UPOS': 'DET', 'HEAD ID': 2, 'HEAD': 'composiciones', 'DEPREL': 'det'}, {'ID': 2, 'FORM': 'composiciones', 'LEMMA': 'composición', 'UPOS': 'NOUN', 'HEAD ID': 8, 'HEAD': 'tengo', 'DEPREL': 'obj'}, {'ID': 3, 'FORM': 'según', 'LEMMA': 'según', 'UPOS': 'ADP', 'HEAD ID': 8, 'HEAD': 'tengo', 'DEPREL': 'mark'}, {'ID': 4, 'FORM': 'los', 'LEMMA': 'el', 'UPOS': 'DET', 'HEAD ID': 5, 'HEAD': 'Cds', 'DEPREL': 'det'}, {'ID': 5, 'FORM': 'Cds', 'LEMMA': 'CD', 'UPOS': 'NOUN', 'HEAD ID': 8, 'HEAD': 'tengo', 'DEPREL': 'obl'}, {'ID': 6, 'FORM': 'que', 'LEMMA': 'que', 'UPOS': 'PRON', 'HEAD ID': 8, 'HEAD': 'tengo', 'DEPREL': 'obj'}, {'ID': 7, 'FORM': 'yo', 'LEMMA': 'yo', 'UPOS': 'PRON', 'HEAD ID': 8, 'HEAD': 'tengo', 'DEPREL': 'nsubj'}, {'ID': 8, 'FORM': 'tengo', 'LEMMA': 'tener', 'UPOS': 'VERB', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 9, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 8, 'HEAD': 'tengo', 'DEPREL': 'punct'}]",0
133,herring11,uno de los Cds ellos han tocado varias composiciones todos cinco al mismo tiempo .,0,"[[1, 'uno', 'spa'], [2, 'de', 'spa'], [3, 'los', 'spa'], [4, 'Cds', 'eng'], [5, 'ellos', 'spa'], [6, 'han', 'spa'], [7, 'tocado', 'spa'], [8, 'varias', 'spa'], [9, 'composiciones', 'spa'], [10, 'todos', 'spa'], [11, 'cinco', 'spa'], [12, 'al', 'spa'], [13, 'mismo', 'spa'], [14, 'tiempo', 'spa'], [15, '.', '0']]","[{'ID': 1, 'FORM': 'uno', 'LEMMA': 'uno', 'UPOS': 'NUM', 'HEAD ID': 4, 'HEAD': 'Cds', 'DEPREL': 'nummod'}, {'ID': 2, 'FORM': 'de', 'LEMMA': 'de', 'UPOS': 'ADP', 'HEAD ID': 4, 'HEAD': 'Cds', 'DEPREL': 'case'}, {'ID': 3, 'FORM': 'los', 'LEMMA': 'el', 'UPOS': 'DET', 'HEAD ID': 4, 'HEAD': 'Cds', 'DEPREL': 'det'}, {'ID': 4, 'FORM': 'Cds', 'LEMMA': 'CD', 'UPOS': 'NOUN', 'HEAD ID': 7, 'HEAD': 'tocado', 'DEPREL': 'obl'}, {'ID': 5, 'FORM': 'ellos', 'LEMMA': 'ellos', 'UPOS': 'PRON', 'HEAD ID': 7, 'HEAD': 'tocado', 'DEPREL': 'nsubj'}, {'ID': 6, 'FORM': 'han', 'LEMMA': 'haber', 'UPOS': 'AUX', 'HEAD ID': 7, 'HEAD': 'tocado', 'DEPREL': 'aux'}, {'ID': 7, 'FORM': 'tocado', 'LEMMA': 'tocar', 'UPOS': 'VERB', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 8, 'FORM': 'varias', 'LEMMA': 'vario', 'UPOS': 'DET', 'HEAD ID': 9, 'HEAD': 'composiciones', 'DEPREL': 'det'}, {'ID': 9, 'FORM': 'composiciones', 'LEMMA': 'composición', 'UPOS': 'NOUN', 'HEAD ID': 7, 'HEAD': 'tocado', 'DEPREL': 'obj'}, {'ID': 10, 'FORM': 'todos', 'LEMMA': 'todo', 'UPOS': 'PRON', 'HEAD ID': 14, 'HEAD': 'tiempo', 'DEPREL': 'det'}, {'ID': 11, 'FORM': 'cinco', 'LEMMA': 'cinco', 'UPOS': 'NUM', 'HEAD ID': 14, 'HEAD': 'tiempo', 'DEPREL': 'nummod'}, {'ID': 12, 'FORM': 'al', 'LEMMA': 'a el', 'UPOS': 'ADP', 'HEAD ID': 14, 'HEAD': 'tiempo', 'DEPREL': 'case'}, {'ID': 13, 'FORM': 'mismo', 'LEMMA': 'mismo', 'UPOS': 'ADJ', 'HEAD ID': 14, 'HEAD': 'tiempo', 'DEPREL': 'amod'}, {'ID': 14, 'FORM': 'tiempo', 'LEMMA': 'tiempo', 'UPOS': 'NOUN', 'HEAD ID': 7, 'HEAD': 'tocado', 'DEPREL': 'obl'}, {'ID': 15, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 7, 'HEAD': 'tocado', 'DEPREL': 'punct'}]",0
252,herring11,es algo similar a America .,0,"[[1, 'es', 'spa'], [2, 'algo', 'spa'], [3, 'similar', 'spa'], [4, 'a', 'spa'], [5, 'America', 'eng'], [6, '.', '0']]","[{'ID': 1, 'FORM': 'es', 'LEMMA': 'ser', 'UPOS': 'VERB', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 2, 'FORM': 'algo', 'LEMMA': 'algo', 'UPOS': 'PRON', 'HEAD ID': 1, 'HEAD': 'es', 'DEPREL': 'nsubj'}, {'ID': 3, 'FORM': 'similar', 'LEMMA': 'similar', 'UPOS': 'ADJ', 'HEAD ID': 1, 'HEAD': 'es', 'DEPREL': 'xcomp'}, {'ID': 4, 'FORM': 'a', 'LEMMA': 'a', 'UPOS': 'ADP', 'HEAD ID': 5, 'HEAD': 'America', 'DEPREL': 'case'}, {'ID': 5, 'FORM': 'America', 'LEMMA': 'America', 'UPOS': 'PROPN', 'HEAD ID': 3, 'HEAD': 'similar', 'DEPREL': 'obl'}, {'ID': 6, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 1, 'HEAD': 'es', 'DEPREL': 'punct'}]",0
254,herring11,America que ?,0,"[[1, 'America', 'eng'], [2, 'que', 'spa'], [3, '?', '0']]","[{'ID': 1, 'FORM': 'America', 'LEMMA': 'America', 'UPOS': 'PROPN', 'HEAD ID': 2, 'HEAD': 'que', 'DEPREL': 'nsubj'}, {'ID': 2, 'FORM': 'que', 'LEMMA': 'que', 'UPOS': 'PRON', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 3, 'FORM': '?', 'LEMMA': '?', 'UPOS': 'PUNCT', 'HEAD ID': 2, 'HEAD': 'que', 'DEPREL': 'punct'}]",0
335,herring11,eh blog ?,0,"[[1, 'eh', 'spa'], [2, 'blog', 'eng'], [3, '?', '0']]","[{'ID': 1, 'FORM': 'eh', 'LEMMA': 'eh', 'UPOS': 'INTJ', 'HEAD ID': 2, 'HEAD': 'blog', 'DEPREL': 'discourse'}, {'ID': 2, 'FORM': 'blog', 'LEMMA': 'blog', 'UPOS': 'NOUN', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 3, 'FORM': '?', 'LEMMA': '?', 'UPOS': 'PUNCT', 'HEAD ID': 2, 'HEAD': 'blog', 'DEPREL': 'punct'}]",0
336,herring11,sí no un blog bueno blog es cuando ellos escriben para que ellos escriben .,1,"[[1, 'sí', 'spa'], [2, 'no', 'spa'], [3, 'un', 'spa'], [4, 'blog', 'eng'], [5, 'bueno', 'spa'], [6, 'blog', 'eng'], [7, 'es', 'spa'], [8, 'cuando', 'spa'], [9, 'ellos', 'spa'], [10, 'escriben', 'spa'], [11, 'para', 'spa'], [12, 'que', 'spa'], [13, 'ellos', 'spa'], [14, 'escriben', 'spa'], [15, '.', '0']]","[{'ID': 1, 'FORM': 'sí', 'LEMMA': 'sí', 'UPOS': 'ADV', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'advmod'}, {'ID': 2, 'FORM': 'no', 'LEMMA': 'no', 'UPOS': 'PART', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'advmod'}, {'ID': 3, 'FORM': 'un', 'LEMMA': 'un', 'UPOS': 'DET', 'HEAD ID': 6, 'HEAD': 'blog', 'DEPREL': 'det'}, {'ID': 4, 'FORM': 'blog', 'LEMMA': 'blog', 'UPOS': 'NOUN', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'nsubj'}, {'ID': 5, 'FORM': 'bueno', 'LEMMA': 'bueno', 'UPOS': 'ADJ', 'HEAD ID': 6, 'HEAD': 'blog', 'DEPREL': 'amod'}, {'ID': 6, 'FORM': 'blog', 'LEMMA': 'blog', 'UPOS': 'NOUN', 'HEAD ID': 6, 'HEAD': 'blog', 'DEPREL': 'appos'}, {'ID': 7, 'FORM': 'es', 'LEMMA': 'ser', 'UPOS': 'AUX', 'HEAD ID': 8, 'HEAD': 'cuando', 'DEPREL': 'cop'}, {'ID': 8, 'FORM': 'cuando', 'LEMMA': 'cuando', 'UPOS': 'SCONJ', 'HEAD ID': 0, 'HEAD': 'root', 'DEPREL': 'root'}, {'ID': 9, 'FORM': 'ellos', 'LEMMA': 'ellos', 'UPOS': 'PRON', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'nsubj'}, {'ID': 10, 'FORM': 'escriben', 'LEMMA': 'escribir', 'UPOS': 'VERB', 'HEAD ID': 8, 'HEAD': 'cuando', 'DEPREL': 'advcl'}, {'ID': 11, 'FORM': 'para', 'LEMMA': 'para', 'UPOS': 'ADP', 'HEAD ID': 12, 'HEAD': 'que', 'DEPREL': 'case'}, {'ID': 12, 'FORM': 'que', 'LEMMA': 'que', 'UPOS': 'SCONJ', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'mark'}, {'ID': 13, 'FORM': 'ellos', 'LEMMA': 'ellos', 'UPOS': 'PRON', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'nsubj'}, {'ID': 14, 'FORM': 'escriben', 'LEMMA': 'escribir', 'UPOS': 'VERB', 'HEAD ID': 14, 'HEAD': 'escriben', 'DEPREL': 'ccomp'}, {'ID': 15, 'FORM': '.', 'LEMMA': '.', 'UPOS': 'PUNCT', 'HEAD ID': 8, 'HEAD': 'cuando', 'DEPREL': 'punct'}]",0
